family_id,total_genes,found_genes,avg_overlap_pct,total_truth_span,total_detected_span,sensitivity,status
ID_104,3,3,100.0,17137,941709,100.0,Perfect
ID_113,16,16,99.96871062826654,215274,5255550,100.0,Perfect
ID_116,6,6,100.0,54724,2180374,100.0,Perfect
ID_12,4,4,100.0,236952,1697832,100.0,Perfect
ID_127,3,3,100.0,113868,918099,100.0,Perfect
ID_131,6,6,100.0,41828,2761884,100.0,Perfect
ID_14,7,7,100.0,214651,3763662,100.0,Perfect
ID_141,1,1,100.0,2647,214112,100.0,Perfect
ID_142,1,1,100.0,23724,315386,100.0,Perfect
ID_146,2,2,100.0,42531,841668,100.0,Perfect
ID_147,4,4,100.0,71619,262123,100.0,Perfect
ID_148,2,2,100.0,94278,381654,100.0,Perfect
ID_154,14,14,100.0,289047,10741440,100.0,Perfect
ID_156,5,5,100.0,92979,1559914,100.0,Perfect
ID_163,6,6,100.0,600331,8199815,100.0,Perfect
ID_167,3,3,100.0,23842,209480,100.0,Perfect
ID_175,2,2,100.0,122794,316888,100.0,Perfect
ID_179,3,3,100.0,83825,1360293,100.0,Perfect
ID_182,4,4,100.0,150409,1421652,100.0,Perfect
ID_188,4,4,100.0,530199,1336296,100.0,Perfect
ID_207,17,17,96.37332779922512,153608,8925457,100.0,Perfect
ID_209,3,3,100.0,208854,1238324,100.0,Perfect
ID_211,4,4,100.0,160299,1060588,100.0,Perfect
ID_212,5,5,100.0,204323,945591,100.0,Perfect
ID_215,7,7,100.0,723076,1612264,100.0,Perfect
ID_222,1,1,100.0,107,487511,100.0,Perfect
ID_226,5,5,100.0,51032,966754,100.0,Perfect
ID_24,3,3,100.0,86257,542162,100.0,Perfect
ID_240,3,3,100.0,31851,1264989,100.0,Perfect
ID_245,4,4,100.0,739281,1520231,100.0,Perfect
ID_251,2,2,100.0,101752,869877,100.0,Perfect
ID_26,2,2,100.0,34357,172813,100.0,Perfect
ID_260,3,3,100.0,18366,637199,100.0,Perfect
ID_261,5,5,100.0,104732,1344387,100.0,Perfect
ID_267,1,1,100.0,310,66185,100.0,Perfect
ID_280,3,3,100.0,280842,1193571,100.0,Perfect
ID_283,5,5,100.0,40782,2591001,100.0,Perfect
ID_300,2,2,100.0,30812,257936,100.0,Perfect
ID_302,1,1,100.0,1376,492116,100.0,Perfect
ID_313,2,2,100.0,592,2868754,100.0,Perfect
ID_324,5,5,100.0,63447,1594862,100.0,Perfect
ID_327,4,4,82.63456090651559,16713,1737803,100.0,Perfect
ID_334,1,1,100.0,4774,4774,100.0,Perfect
ID_338,3,3,100.0,13106,273035,100.0,Perfect
ID_348,1,1,100.0,716,239043,100.0,Perfect
ID_354,4,4,100.0,69463,1279185,100.0,Perfect
ID_357,3,3,100.0,28441,517453,100.0,Perfect
ID_359,5,5,100.0,6909,917498,100.0,Perfect
ID_374,3,3,100.0,150002,2730240,100.0,Perfect
ID_386,2,2,100.0,179304,661338,100.0,Perfect
ID_393,2,2,100.0,19998,734025,100.0,Perfect
ID_395,6,6,100.0,454107,3194548,100.0,Perfect
ID_399,4,4,100.0,117752,6041720,100.0,Perfect
ID_400,6,6,100.0,640803,1786976,100.0,Perfect
ID_402,3,3,100.0,46162,2024356,100.0,Perfect
ID_403,3,3,100.0,20167,466275,100.0,Perfect
ID_407,4,4,100.0,39601,2536542,100.0,Perfect
ID_411,3,3,100.0,3048,64589,100.0,Perfect
ID_43,4,4,100.0,23318,999875,100.0,Perfect
ID_431,5,5,100.0,3330,250765,100.0,Perfect
ID_443,3,3,100.0,179591,1043342,100.0,Perfect
ID_448,3,3,100.0,49548,573866,100.0,Perfect
ID_458,2,2,100.0,42034,612187,100.0,Perfect
ID_462,4,4,100.0,772099,1304042,100.0,Perfect
ID_468,9,9,100.0,96665,1949671,100.0,Perfect
ID_474,3,3,100.0,9012,900905,100.0,Perfect
ID_481,5,5,100.0,43297,1756906,100.0,Perfect
ID_49,3,3,100.0,96544,710851,100.0,Perfect
ID_490,3,3,100.0,67239,272990,100.0,Perfect
ID_63,8,8,98.14192817668768,476550,3508292,100.0,Perfect
ID_68,4,4,100.0,11024,850166,100.0,Perfect
ID_71,5,5,100.0,21901,1357700,100.0,Perfect
ID_78,5,5,100.0,193510,1864643,100.0,Perfect
ID_8,9,9,100.0,106364,6123337,100.0,Perfect
ID_88,4,4,100.0,37230,1361256,100.0,Perfect
ID_92,2,2,100.0,2632,396315,100.0,Perfect
ID_22,6,5,83.33333333333333,224988,412411,83.33333333333334,Good
ID_332,6,5,83.33333333333333,11925,34418,83.33333333333334,Good
ID_213,4,3,75.0,15456,606884,75.0,Good
ID_208,5,3,60.0,274145,3323046,60.0,Fair
ID_391,5,3,60.0,58342,227515,60.0,Fair
ID_65,9,5,55.55555555555556,176343,311578,55.55555555555556,Fair
ID_35,10,5,50.0,401904,602140,50.0,Fair
